,time,open,high,low,close,volume
335,2014-05-16,521.96,529.49,519.39,529.49,83778087
336,2014-05-19,530.31,534.68,525.82,533.04,106137980
337,2014-05-20,531.0,537.93,527.69,537.52,105111597
338,2014-05-21,537.95,543.93,533.19,543.88,102987620
339,2014-05-22,543.35,547.2,541.43,541.73,130117230
340,2014-05-23,542.44,545.3,540.51,541.49,85739404
341,2014-05-26,541.43,544.93,536.27,544.06,85280485
342,2014-05-27,543.55,552.75,542.49,552.75,127182990
343,2014-05-28,554.32,557.93,553.03,557.34,108157626
344,2014-05-29,556.3,562.33,555.32,558.45,116323876
345,2014-05-30,558.78,565.05,557.2,562.02,83436300
346,2014-06-02,560.29,563.12,554.44,556.8,80227000
347,2014-06-03,557.34,560.62,554.96,558.76,58135970
348,2014-06-04,559.19,559.19,550.23,553.46,67931489
349,2014-06-05,552.25,553.96,548.47,551.1,59225435
350,2014-06-06,554.18,559.04,551.8,559.04,60850320
351,2014-06-09,561.25,571.83,558.64,565.61,112503448
352,2014-06-10,566.31,571.73,564.32,566.89,79447283
353,2014-06-11,567.77,573.05,566.51,570.36,85221016
354,2014-06-12,571.18,574.75,568.58,573.77,96141153
355,2014-06-13,573.58,577.27,573.03,574.48,72408393
356,2014-06-16,575.3,575.87,571.76,572.37,87593555
357,2014-06-17,570.77,573.15,567.58,572.25,108669056
358,2014-06-18,571.74,575.03,570.03,570.03,99955525
359,2014-06-19,564.93,569.41,558.65,567.35,124333699
360,2014-06-20,568.45,571.76,560.78,560.78,123445643
361,2014-06-23,561.97,567.71,561.97,565.92,61843580
362,2014-06-24,565.47,570.37,565.12,569.74,67575649
363,2014-06-25,570.33,574.62,569.27,572.27,95790753
364,2014-06-26,572.18,578.29,570.33,576.4,123738238
365,2014-06-27,576.18,580.75,575.1,578.82,74414898
366,2014-06-30,578.28,582.26,577.76,578.13,76296630
367,2014-07-01,578.93,582.16,577.3,578.07,104403768
368,2014-07-02,578.79,581.89,576.88,578.8,109096029
369,2014-07-03,583.29,585.02,580.55,585.02,131463926
370,2014-07-04,585.66,591.38,585.66,589.35,132764372
371,2014-07-07,592.27,594.84,589.61,590.69,127746391
372,2014-07-08,591.63,593.4,588.54,591.47,96629270
373,2014-07-09,591.9,593.42,590.46,591.6,109819763
374,2014-07-10,591.21,591.35,581.49,584.88,152831885
375,2014-07-11,584.29,586.57,580.54,582.77,78299428
376,2014-07-14,583.55,586.23,581.99,586.23,69464460
377,2014-07-15,588.24,590.09,587.68,589.31,137424848
378,2014-07-16,594.29,594.29,589.68,589.68,138138520
379,2014-07-17,588.99,591.42,586.07,590.37,96550889
380,2014-07-18,590.9,596.26,589.33,596.26,144369890
381,2014-07-21,598.26,604.64,596.96,601.04,111554600
382,2014-07-22,599.3,600.93,594.85,597.98,103903204
