"Date","Price","Open","High","Low","Change %"
"12/05/2022","4.970","4.970","4.970","4.970","-0.18%"
"12/02/2022","4.979","4.979","4.979","4.979","0.00%"
"12/01/2022","4.979","4.979","4.979","4.979","0.00%"
"11/30/2022","4.979","4.979","4.979","4.979","0.00%"
"11/29/2022","4.979","4.979","4.979","4.979","0.06%"
"11/28/2022","4.976","4.976","4.976","4.976","-0.04%"
"11/25/2022","4.978","4.978","4.978","4.978","0.00%"
"11/24/2022","4.978","4.978","4.978","4.978","0.14%"
"11/23/2022","4.971","4.971","4.971","4.971","0.00%"
"11/22/2022","4.971","4.971","4.971","4.971","0.00%"
"11/21/2022","4.971","4.971","4.971","4.971","-0.10%"
"11/18/2022","4.976","4.976","4.976","4.976","0.00%"
"11/17/2022","4.976","4.976","4.976","4.976","0.00%"
"11/16/2022","4.976","4.976","4.976","4.976","-0.06%"
"11/15/2022","4.979","4.979","4.979","4.979","-0.44%"
"11/14/2022","5.001","5.001","5.001","5.001","-0.44%"
"11/11/2022","5.023","5.023","5.023","5.023","0.08%"
"11/10/2022","5.019","5.019","5.019","5.019","-0.12%"
"11/09/2022","5.025","5.025","5.025","5.025","-0.14%"
"11/08/2022","5.032","5.032","5.032","5.032","-0.04%"
"11/07/2022","5.034","5.034","5.034","5.034","0.04%"
"11/04/2022","5.032","5.032","5.032","5.032","0.18%"
"11/03/2022","5.023","5.023","5.023","5.023","0.16%"
"11/02/2022","5.015","5.015","5.015","5.015","0.18%"
"11/01/2022","5.006","5.006","5.006","5.006","0.02%"
"10/31/2022","5.005","5.005","5.005","5.005","0.10%"
"10/28/2022","5.000","5.000","5.000","5.000","-0.18%"
"10/27/2022","5.009","5.009","5.009","5.009","0.46%"
"10/26/2022","4.986","4.986","4.986","4.986","0.26%"
"10/25/2022","4.973","4.973","4.973","4.973","1.20%"
"10/24/2022","4.914","4.914","4.914","4.914","-0.08%"
"10/21/2022","4.918","4.918","4.918","4.918","0.47%"
"10/20/2022","4.895","4.885","4.895","4.885","0.47%"
"10/19/2022","4.872","4.882","4.882","4.872","-0.47%"
"10/18/2022","4.895","4.895","4.895","4.895","-1.27%"
"10/17/2022","4.958","4.958","4.958","4.958","-0.12%"
"10/14/2022","4.964","4.964","4.964","4.964","-0.18%"
"10/13/2022","4.973","4.973","4.973","4.973","-0.08%"
"10/12/2022","4.977","4.977","4.977","4.977","0.73%"
"10/11/2022","4.941","4.941","4.941","4.941","-0.28%"
"10/10/2022","4.955","4.955","4.955","4.955","0.06%"
"10/07/2022","4.952","4.952","4.952","4.952","-0.28%"
"10/06/2022","4.966","4.966","4.966","4.966","-0.28%"
"10/05/2022","4.980","4.980","4.980","4.980","1.03%"
"10/04/2022","4.929","4.929","4.929","4.929","3.83%"
"10/03/2022","4.747","4.701","4.747","4.701","0.15%"
"09/30/2022","4.740","4.701","4.740","4.701","0.83%"
"09/29/2022","4.701","4.701","4.701","4.701","-0.68%"
"09/28/2022","4.733","4.733","4.733","4.733","2.87%"
"09/27/2022","4.601","4.601","4.601","4.601","6.58%"
"09/26/2022","4.317","4.317","4.317","4.317","0.40%"
"09/23/2022","4.300","4.300","4.300","4.300","4.44%"
"09/22/2022","4.117","4.117","4.117","4.117","13.89%"
"09/21/2022","3.615","3.615","3.615","3.615","8.56%"
"09/20/2022","3.330","3.330","3.330","3.330","3.61%"
"09/19/2022","3.214","3.214","3.214","3.214","0.66%"
"09/16/2022","3.193","3.193","3.193","3.193","2.57%"
"09/15/2022","3.113","3.113","3.113","3.113","-0.03%"
"09/14/2022","3.114","3.114","3.114","3.114","1.10%"
"09/13/2022","3.080","3.080","3.080","3.080","1.92%"
"09/12/2022","3.022","3.022","3.022","3.022","0.37%"
"09/09/2022","3.011","3.022","3.022","3.022","0.03%"
"09/08/2022","3.010","3.010","3.010","3.010","2.59%"
"09/07/2022","2.934","2.934","2.934","2.934","1.80%"
"09/06/2022","2.882","2.882","2.882","2.882","2.60%"
"09/05/2022","2.809","2.784","2.809","2.784","6.20%"
"09/02/2022","2.645","2.645","2.645","2.645","0.00%"
"09/01/2022","2.645","2.645","2.645","2.645","-3.57%"
"08/31/2022","2.743","2.747","2.747","2.743","-0.15%"
"08/30/2022","2.747","2.747","2.747","2.747","-0.11%"
"08/29/2022","2.750","2.760","2.760","2.750","-0.47%"
"08/26/2022","2.763","2.763","2.763","2.763","-0.14%"
"08/25/2022","2.767","2.767","2.767","2.767","0.47%"
"08/24/2022","2.754","2.767","2.767","2.767","-0.18%"
"08/23/2022","2.759","2.759","2.759","2.759","0.55%"
"08/22/2022","2.744","2.744","2.744","2.744","-0.15%"
"08/19/2022","2.748","2.748","2.748","2.748","0.33%"
"08/18/2022","2.739","2.739","2.739","2.739","-0.04%"
"08/17/2022","2.740","2.740","2.740","2.740","0.44%"
"08/16/2022","2.728","2.728","2.728","2.728","-0.07%"
"08/15/2022","2.730","2.730","2.730","2.730","0.26%"
"08/12/2022","2.723","2.723","2.723","2.723","-0.51%"
"08/11/2022","2.737","2.737","2.737","2.737","-1.19%"
"08/10/2022","2.770","2.761","2.770","2.761","-0.61%"
"08/09/2022","2.787","2.797","2.797","2.787","1.27%"
"08/08/2022","2.752","2.752","2.752","2.752","0.11%"
"08/05/2022","2.749","2.749","2.749","2.749","0.11%"
"08/04/2022","2.746","2.746","2.746","2.746","-0.04%"
"08/03/2022","2.747","2.747","2.747","2.747","0.44%"
"08/02/2022","2.735","2.735","2.735","2.735","0.00%"
"08/01/2022","2.735","2.735","2.735","2.735","-0.04%"
"07/29/2022","2.736","2.736","2.736","2.736","1.15%"
"07/28/2022","2.705","2.705","2.705","2.705","-5.65%"
"07/27/2022","2.867","2.867","2.867","2.867","24.60%"
"07/26/2022","2.301","2.301","2.301","2.301","3.51%"
"07/25/2022","2.223","2.223","2.223","2.223","1.09%"
"07/22/2022","2.199","2.189","2.199","2.189","2.28%"
"07/21/2022","2.150","2.161","2.161","2.150","-1.10%"
"07/20/2022","2.174","2.174","2.174","2.174","-0.96%"
"07/19/2022","2.195","2.195","2.195","2.195","6.66%"
"07/18/2022","2.058","2.058","2.058","2.058","1.63%"
"07/15/2022","2.025","2.025","2.025","2.025","0.30%"
"07/14/2022","2.019","2.019","2.019","2.019","0.40%"
"07/13/2022","2.011","2.011","2.011","2.011","-0.40%"
"07/12/2022","2.019","2.019","2.019","2.019","-0.49%"
"07/11/2022","2.029","2.029","2.029","2.029","-0.88%"
"07/08/2022","2.047","2.047","2.047","2.047","3.70%"
"07/07/2022","1.974","1.974","1.974","1.974","-0.25%"
"07/06/2022","1.979","1.979","1.979","1.979","-2.85%"
"07/05/2022","2.037","1.957","2.037","1.957","5.65%"
"07/04/2022","1.928","1.937","1.937","1.928","-1.23%"
"07/01/2022","1.952","1.990","2.022","1.952","0.10%"
"06/30/2022","1.950","1.950","1.950","1.950","-1.91%"
"06/29/2022","1.988","1.988","1.988","1.988","1.64%"
"06/28/2022","1.956","1.956","1.956","1.956","0.82%"
"06/27/2022","1.940","1.940","1.940","1.940","-0.05%"
"06/24/2022","1.941","1.942","1.942","1.941","-0.05%"
"06/23/2022","1.942","1.942","1.942","1.942","-0.05%"
"06/22/2022","1.943","1.943","1.943","1.943","-0.05%"
"06/21/2022","1.944","1.944","1.944","1.944","-0.05%"
"06/20/2022","1.945","1.945","1.945","1.945","4.74%"
"06/17/2022","1.857","1.857","1.857","1.857","-1.95%"
"06/16/2022","1.894","1.894","1.894","1.894","-2.12%"
"06/15/2022","1.935","1.935","1.935","1.935","0.05%"
"06/14/2022","1.934","1.934","1.934","1.934","0.16%"
"06/13/2022","1.931","1.931","1.931","1.931","3.32%"
"06/10/2022","1.869","1.869","1.869","1.869","-1.32%"
"06/09/2022","1.894","1.894","1.894","1.894","-1.92%"
"06/08/2022","1.931","1.931","1.931","1.931","-0.10%"
"06/07/2022","1.933","1.933","1.933","1.933","0.89%"
"06/06/2022","1.916","1.916","1.916","1.916","-7.66%"
"06/03/2022","2.075","2.075","2.075","2.075","0.73%"
"06/02/2022","2.060","2.060","2.060","2.060","-0.68%"
"06/01/2022","2.074","2.087","2.087","2.074","-0.58%"
"05/31/2022","2.086","2.086","2.086","2.086","-0.76%"
"05/30/2022","2.102","2.102","2.102","2.102","0.72%"
"05/27/2022","2.087","2.087","2.087","2.087","-0.86%"
"05/26/2022","2.105","2.105","2.105","2.105","0.96%"
"05/25/2022","2.085","2.085","2.085","2.085","-0.71%"
"05/24/2022","2.100","2.100","2.100","2.100","-0.43%"
"05/23/2022","2.109","2.109","2.109","2.109","-2.18%"
"05/20/2022","2.156","2.156","2.156","2.156","-0.65%"
"05/19/2022","2.170","2.170","2.170","2.170","-0.46%"
"05/18/2022","2.180","2.180","2.180","2.180","0.00%"
"05/17/2022","2.180","2.180","2.180","2.180","-0.05%"
"05/16/2022","2.181","2.181","2.181","2.181","-0.27%"
"05/13/2022","2.187","2.187","2.187","2.187","0.88%"
"05/12/2022","2.168","2.168","2.168","2.168","2.75%"
"05/11/2022","2.110","2.110","2.110","2.110","1.49%"
"05/10/2022","2.079","2.079","2.079","2.079","0.05%"
"05/09/2022","2.078","2.078","2.078","2.078","3.08%"
"05/06/2022","2.016","2.016","2.016","2.016","-0.10%"
"05/05/2022","2.018","2.018","2.018","2.018","1.51%"
"05/04/2022","1.988","1.988","1.988","1.988","5.41%"
"05/03/2022","1.886","1.886","1.886","1.886","0.00%"
"05/02/2022","1.886","1.886","1.886","1.886","-5.04%"
"04/29/2022","1.986","1.986","1.986","1.986","-0.25%"
"04/28/2022","1.991","1.991","1.991","1.991","-0.10%"
"04/27/2022","1.993","1.993","1.993","1.993","-0.10%"
"04/26/2022","1.995","1.995","1.995","1.995","0.05%"
"04/25/2022","1.994","1.994","1.994","1.994","-0.60%"
"04/22/2022","2.006","2.006","2.006","2.006","2.14%"
"04/21/2022","1.964","1.964","1.964","1.964","-0.66%"
"04/20/2022","1.977","1.977","1.977","1.977","-1.45%"
"04/19/2022","2.006","2.006","2.006","2.006","-5.06%"
"04/18/2022","2.113","2.113","2.113","2.113","1.49%"
"04/15/2022","2.082","2.082","2.082","2.082","-1.37%"
"04/14/2022","2.111","2.111","2.111","2.111","0.38%"
"04/13/2022","2.103","2.103","2.103","2.103","-2.41%"
"04/12/2022","2.155","2.155","2.155","2.155","11.92%"
"04/11/2022","1.926","1.926","1.926","1.926","-4.96%"
"04/08/2022","2.026","2.026","2.026","2.026","0.65%"
"04/07/2022","2.013","2.013","2.013","2.013","4.57%"
"04/06/2022","1.925","1.925","1.925","1.925","9.75%"
"04/05/2022","1.754","1.754","1.754","1.754","0.75%"
"04/04/2022","1.741","1.741","1.741","1.741","0.58%"
"04/01/2022","1.731","1.729","1.731","1.729","0.41%"
"03/31/2022","1.724","1.724","1.724","1.724","5.12%"
"03/30/2022","1.640","1.641","1.641","1.640","-5.75%"
"03/29/2022","1.740","1.740","1.740","1.740","1.16%"
"03/28/2022","1.720","1.720","1.720","1.720","-2.82%"
"03/25/2022","1.770","1.770","1.770","1.770","0.57%"
"03/24/2022","1.760","1.760","1.760","1.760","-0.85%"
"03/23/2022","1.775","1.775","1.775","1.775","-0.28%"
"03/22/2022","1.780","1.780","1.780","1.780","3.85%"
"03/21/2022","1.714","1.714","1.714","1.714","6.00%"
